Chemin,Format,Train_Test,Classe,Nom,Type,Largeur,Hauteur,Canaux,Doute_Carre
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230228122654_0466_T_000001.png,110x60,test,substring open circuit,DJI_20230228122654_0466_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230228122803_0500_T_000001.png,110x60,test,substring open circuit,DJI_20230228122803_0500_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230228123425_0666_T_000002.png,110x60,test,substring open circuit,DJI_20230228123425_0666_T_000002,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230228124402_0129_T_000002.png,110x60,test,substring open circuit,DJI_20230228124402_0129_T_000002,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230228124624_0220_T_000001.png,110x60,test,substring open circuit,DJI_20230228124624_0220_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230228124936_0330_T_000002.png,110x60,test,substring open circuit,DJI_20230228124936_0330_T_000002,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230228132327_0250_T_000001.png,110x60,test,substring open circuit,DJI_20230228132327_0250_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230228133117_0502_T_000006.png,110x60,test,substring open circuit,DJI_20230228133117_0502_T_000006,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230228143040_0639_T_000001.png,110x60,test,substring open circuit,DJI_20230228143040_0639_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230228143113_0656_T_000001.png,110x60,test,substring open circuit,DJI_20230228143113_0656_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230228145355_0243_T_000001.png,110x60,test,substring open circuit,DJI_20230228145355_0243_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230228155130_0306_T_000001.png,110x60,test,substring open circuit,DJI_20230228155130_0306_T_000001,.png,60,110,3,False
../data/raw/PVF-10\PVF_10_110x60\test\01substring open circuit\DJI_20230228155357_0380_T_000001.png,110x60,test,substring open circuit,DJI_20230228155357_0380_T_000001,.png,60,110,3,False
